Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Scaled_price
2002-10-09,1259.096666497839,1265.5868555004051,1181.2143984670447,1201.333984375,1521900,0.0,0.0,-1.0461699095553607
2002-10-10,1200.6849092779848,1210.4201923261846,1168.2339657839852,1186.406494140625,2530500,0.0,0.0,-1.0488714107875097
2002-10-11,1213.6650576942845,1233.1356201171875,1179.9160828279194,1233.1356201171875,4144300,0.0,0.0,-1.04041461132418
2002-10-14,1233.1356201171875,1262.341463751542,1210.419963957134,1233.1356201171875,1169500,0.0,0.0,-1.04041461132418
2002-10-15,1265.586955054908,1310.3692626953125,1265.586955054908,1310.3692626953125,963200,0.0,0.0,-1.02643725965205
2002-10-16,1296.7398359818892,1333.7339153867779,1281.8124004325482,1285.0574951171875,1134700,0.0,0.0,-1.0310180545630863
2002-10-17,1311.0182654857635,1329.1907958984375,1298.0378866195679,1329.1907958984375,1199000,0.0,0.0,-1.0230310343361504
2002-10-18,1311.6673518277391,1317.5085226176698,1285.7065927613812,1314.263427734375,587900,0.0,0.0,-1.025732513476635
2002-10-21,1324.647559875634,1362.9396745413187,1306.4750308817497,1359.694580078125,1008600,0.0,0.0,-1.0175106146773343
2002-10-22,1363.5885700305153,1374.6218902068688,1353.204268688065,1373.3238525390625,747700,0.0,0.0,-1.0150440582925426
2002-10-23,1373.3238525390625,1373.3238525390625,1373.3238525390625,1373.3238525390625,0,0.0,0.0,-1.0150440582925426
2002-10-24,1369.4300089518229,1383.0594071451824,1356.4496297200521,1362.9398193359375,748100,0.0,0.0,-1.016923307788102
2002-10-25,1349.310237895841,1372.6749173399248,1309.720086615588,1312.316162109375,981400,0.0,0.0,-1.0260849197018387
2002-10-28,1333.0849031147204,1362.9397743626644,1327.243732653166,1356.4495849609375,945900,0.0,0.0,-1.0180978773832385
2002-10-29,1349.3104248046875,1362.939823035038,1340.2241593177873,1349.3104248046875,466200,0.0,0.0,-1.0193898862645576
2002-10-30,1346.7143508353408,1385.0064697265625,1343.4692560140509,1385.0064697265625,1137400,0.0,0.0,-1.0129297976746339
2002-10-31,1369.429885277653,1401.8808304264126,1369.429885277653,1401.2318115234375,1342000,0.0,0.0,-1.0099934178701202
2002-11-01,1401.2318115234375,1401.2318115234375,1401.2318115234375,1401.2318115234375,0,0.0,0.0,-1.0099934178701202
2002-11-04,1415.5101917993372,1447.3121172455396,1414.8611729126799,1441.470947265625,1087800,0.0,0.0,-1.0027111438185992
2002-11-05,1427.8420046067304,1440.8223864667916,1414.8616227466691,1418.7557373046875,938900,0.0,0.0,-1.0068220269432573
2002-11-06,1438.8750067349138,1440.1730446300287,1395.3907372485633,1411.6162109375,1132200,0.0,0.0,-1.0081141020995688
2002-11-07,1413.5631998697916,1421.3514268663193,1388.9004810474537,1401.880859375,730700,0.0,0.0,-1.0098759564922737
2002-11-08,1394.0926898741038,1405.126011907558,1384.3574057269382,1403.178955078125,566900,0.0,0.0,-1.0096410337365809
2002-11-11,1395.390638998889,1414.8612060546875,1388.9004499802895,1414.8612060546875,252200,0.0,0.0,-1.0075268393936645
2002-11-12,1414.8611604892712,1421.3513492988552,1407.721952798729,1408.3709716796875,306000,0.0,0.0,-1.0087014089888011
2002-11-13,1420.0530600441343,1427.8412852363324,1410.3177785538867,1424.59619140625,498600,0.0,0.0,-1.0057650512759515
2002-11-14,1429.7885497936852,1449.9081344707638,1424.596398909278,1440.1728515625,766900,0.0,0.0,-1.0029460665742922
2002-11-15,1447.312255859375,1463.5377295797714,1440.8220663712164,1447.312255859375,973900,0.0,0.0,-1.001654013509645
2002-11-18,1473.2728746494824,1505.7238190250216,1468.080723549396,1504.42578125,930600,0.0,0.0,-0.9913178982757637
2002-11-19,1485.6039863987971,1501.829455887644,1466.7824417917352,1479.7628173828125,892300,0.0,0.0,-0.9957812759922816
2002-11-20,1473.921935384693,1473.921935384693,1448.6101980531196,1461.590576171875,478400,0.0,0.0,-0.9990699957470066
2002-11-21,1491.4451958643247,1518.7039853448737,1461.590331195152,1516.10791015625,718800,0.0,0.0,-0.9892037260245113
2002-11-22,1525.1944040697674,1541.4198764534883,1512.2140261627906,1534.9296875,714600,0.0,0.0,-0.9857974565252836
2002-11-25,1526.492631164603,1547.9102573671676,1514.1612706237324,1520.00244140625,722200,0.0,0.0,-0.9884989135741044
2002-11-26,1517.4062301477347,1518.7042679836181,1486.902341004474,1500.53173828125,558700,0.0,0.0,-0.9920226223595144
2002-11-27,1492.7434536492153,1502.4787370425797,1464.186622362013,1499.233642578125,641900,0.0,0.0,-0.9922575451152075
2002-11-28,1508.9686624627363,1518.7039441560444,1473.2726295872737,1479.7628173828125,564500,0.0,0.0,-0.9957812759922816
2002-11-29,1473.2728580729167,1489.498330078125,1458.345423828125,1460.29248046875,473700,0.0,0.0,-0.9993049185026996
2002-12-02,1469.378931454369,1492.7436141100038,1469.378931454369,1483.6573486328125,772000,0.0,0.0,-0.9950764635418746
2002-12-03,1476.5180438205534,1482.3592141037998,1460.2925708115365,1473.27294921875,501200,0.0,0.0,-0.9969557793124262
2002-12-04,1463.5377295797714,1479.763203300168,1442.120104268848,1447.312255859375,752800,0.0,0.0,-1.001654013509645
2002-12-05,1453.802176966292,1466.7825535463483,1434.9806309252106,1444.06689453125,1298100,0.0,0.0,-1.0022413424905414
2002-12-06,1440.8219621290855,1440.8219621290855,1397.3376957044688,1414.8612060546875,1629600,0.0,0.0,-1.0075268393936645
2002-12-09,1396.0397561961206,1427.8416846264367,1396.0397561961206,1411.6162109375,744800,0.0,0.0,-1.0081141020995688
2002-12-10,1411.6160431965395,1428.4905338278545,1398.6356657878357,1405.1258544921875,667000,0.0,0.0,-1.0092886937863694
2002-12-11,1414.8612929001542,1414.8612929001542,1366.1848722728553,1367.48291015625,614300,0.0,0.0,-1.0161011223265046
2002-12-12,1381.761091354658,1385.6552043410966,1369.4297335642689,1375.919921875,915700,0.0,0.0,-1.0145742348728206
2002-12-13,1372.674977433791,1423.2984517788668,1372.674977433791,1414.8612060546875,1875200,0.0,0.0,-1.0075268393936645
2002-12-16,1429.1395596890836,1456.398352380701,1429.1395596890836,1440.8218994140625,1500000,0.0,0.0,-1.0028286051964457
2002-12-17,1453.8024357239512,1453.8024357239512,1431.0867726657643,1438.875,924200,0.0,0.0,-1.003180945146657
2002-12-18,1437.5767062412217,1444.06689453125,1421.3512355161515,1444.06689453125,1317600,0.0,0.0,-1.0022413424905414
2002-12-19,1456.398352380701,1457.047371254311,1411.6160501016152,1440.8218994140625,774200,0.0,0.0,-1.0028286051964457
2002-12-20,1427.8417043205327,1450.5573677983593,1401.8809460601594,1403.8280029296875,975300,0.0,0.0,-1.0095235723587344
2002-12-23,1421.351381920686,1458.345458984375,1418.106287441415,1458.345458984375,787700,0.0,0.0,-0.999657280544575
2002-12-24,1458.345458984375,1458.345458984375,1458.345458984375,1458.345458984375,0,0.0,0.0,-0.999657280544575
2002-12-25,1458.345458984375,1458.345458984375,1458.345458984375,1458.345458984375,0,0.0,0.0,-0.999657280544575
2002-12-26,1458.345458984375,1458.345458984375,1458.345458984375,1458.345458984375,0,0.0,0.0,-0.999657280544575
2002-12-27,1453.8022400011141,1458.3453720011175,1440.821862858247,1456.3983154296875,103400,0.0,0.0,-1.0000096646781145
2002-12-30,1453.802432528409,1453.802432528409,1422.00050431685,1427.8416748046875,203500,0.0,0.0,-1.005177700203391
2002-12-31,1427.8414765094738,1437.5767593038565,1423.298344538762,1434.3316650390625,3688000,0.0,0.0,-1.0040031747915823
2003-01-01,1434.3316650390623,1434.3316650390623,1434.3316650390623,1434.3316650390625,0,0.0,0.0,-1.0040031747915823
2003-01-02,1434.3316279578369,1463.5374755859375,1415.5100817086163,1463.5374755859375,199600,0.0,0.0,-0.9987176557967953
2003-01-03,1465.4846896075017,1483.0082000678217,1461.590576171875,1461.590576171875,762300,0.0,0.0,-0.9990699957470066
2003-01-06,1467.4314187687937,1480.411793990101,1438.8745932819174,1443.417724609375,437300,0.0,0.0,-1.002358825960052
2003-01-07,1447.9611070237718,1460.2924656223606,1440.8218994140625,1440.8218994140625,154200,0.0,0.0,-1.0028286051964457
